STATEFIP,BPL,YEAR,Total_Pop,State
1,455,1850,88.02,Alabama
1,700,1860,472.72,Alabama
1,700,1870,94.82,Alabama
1,600,1880,119.24,Alabama
1,541,1900,200,Alabama
1,542,1910,100,Alabama
1,600,1920,99.63,Alabama
1,542,1930,302.85,Alabama
1,700,1940,88,Alabama
1,700,1950,141,Alabama
1,542,1960,99,Alabama
1,600,1970,300,Alabama
1,710,1980,100,Alabama
1,700,1990,224,Alabama
1,700,2000,391,Alabama
1,700,2006,836,Alabama
1,700,2011,273,Alabama
1,710,2016,203,Alabama
1,710,2021,67,Alabama
2,501,1900,100,Alaska
2,700,1910,100,Alaska
2,700,1920,171.15,Alaska
2,521,1930,100,Alaska
2,515,1960,1096,Alaska
2,710,1970,100,Alaska
2,710,1980,100,Alaska
2,710,1990,38,Alaska
2,710,2000,784,Alaska
2,700,2006,429,Alaska
2,710,2011,240,Alaska
2,710,2016,204,Alaska
2,700,2021,761,Alaska
4,453,1860,199.86,Arizona
4,453,1870,183.34,Arizona
4,500,1880,2064.5500000000006,Arizona
4,700,1900,101,Arizona
4,700,1910,100,Arizona
4,600,1920,97.2,Arizona
4,515,1930,100.95,Arizona
4,542,1940,300,Arizona
4,700,1950,330,Arizona
4,700,1960,200,Arizona
4,700,1970,400,Arizona
4,710,1980,400,Arizona
4,710,1990,247,Arizona
4,710,2000,840,Arizona
4,710,2006,1940,Arizona
4,710,2011,1530,Arizona
4,710,2016,3597,Arizona
4,710,2021,1983,Arizona
5,453,1850,1398.38,Arkansas
5,453,1860,2129.6099999999997,Arkansas
5,453,1870,1277.5700000000004,Arkansas
5,455,1880,211.18,Arkansas
5,455,1900,200,Arkansas
5,521,1910,100,Arkansas
5,541,1920,225.26,Arkansas
5,541,1930,100.95,Arkansas
5,600,1940,100,Arkansas
5,541,1950,55,Arkansas
5,700,1960,198,Arkansas
5,710,1970,200,Arkansas
5,700,1980,600,Arkansas
5,710,1990,54,Arkansas
5,710,2000,2604,Arkansas
5,710,2006,56,Arkansas
5,700,2011,278,Arkansas
5,710,2016,5167,Arkansas
5,710,2021,7700,Arkansas
6,500,1850,460.40999999999997,California
6,700,1860,530.42,California
6,710,1870,223.11,California
6,700,1880,2251.020000000001,California
6,700,1900,2104,California
6,710,1910,400,California
6,710,1920,312.49,California
6,710,1930,100.95,California
6,710,1940,500,California
6,710,1950,358,California
6,710,1960,1493,California
6,710,1970,10600,California
6,800,1980,100,California
6,710,1990,29276,California
6,710,2000,48069,California
6,710,2006,37388,California
6,710,2011,44233,California
6,710,2016,48409,California
6,710,2021,49395,California
8,453,1860,790.6500000000001,Colorado
8,465,1870,99.49,Colorado
8,700,1880,486.77000000000004,Colorado
8,541,1900,100,Colorado
8,710,1910,202,Colorado
8,700,1920,90.72,Colorado
8,700,1930,100.95,Colorado
8,700,1940,100,Colorado
8,700,1950,325,Colorado
8,700,1960,398,Colorado
8,710,1970,500,Colorado
8,700,1980,1200,Colorado
8,710,1990,1500,Colorado
8,710,2000,813,Colorado
8,710,2006,115,Colorado
8,710,2011,404,Colorado
8,710,2016,1369,Colorado
8,710,2021,2353,Colorado
9,453,1850,1171.33,Connecticut
9,453,1860,6882.970000000005,Connecticut
9,455,1870,100.83,Connecticut
9,500,1880,292.95,Connecticut
9,541,1900,100,Connecticut
9,600,1910,200,Connecticut
9,700,1920,217.78,Connecticut
9,700,1930,504.75,Connecticut
9,700,1940,487,Connecticut
9,700,1950,493,Connecticut
9,700,1960,399,Connecticut
9,710,1970,200,Connecticut
9,710,1980,200,Connecticut
9,700,1990,420,Connecticut
9,700,2000,1177,Connecticut
9,700,2006,1328,Connecticut
9,700,2011,1576,Connecticut
9,710,2016,129,Connecticut
9,700,2021,2254,Connecticut
10,453,1850,96.99,Delaware
10,453,1860,748.5800000000002,Delaware
10,453,1870,748.3199999999999,Delaware
10,453,1880,1658.8000000000006,Delaware
10,465,1900,101,Delaware
10,710,1910,100,Delaware
10,700,1920,100.63,Delaware
10,512,1930,100.95,Delaware
10,542,1940,200,Delaware
10,465,1950,1264,Delaware
10,599,1960,100,Delaware
10,700,1980,200,Delaware
10,600,1990,240,Delaware
10,700,2000,202,Delaware
10,700,2006,255,Delaware
10,700,2011,119,Delaware
10,710,2016,184,Delaware
10,700,2021,53,Delaware
11,453,1850,1462.72,District of Columbia
11,453,1860,4792.979999999997,District of Columbia
11,453,1870,6052.439999999995,District of Columbia
11,521,1880,96.06,District of Columbia
11,500,1900,301,District of Columbia
11,600,1910,100,District of Columbia
11,600,1920,105.41,District of Columbia
11,600,1930,201.9,District of Columbia
