State,1850,1860,1870,1880,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Alabama,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
Alaska,NA,NA,NA,NA,3,1,3,1,NA,NA,1,1,1,4,4,4,4
Arizona,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arkansas,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
California,1,4,3,4,3,3,3,1,1,1,1,1,1,1,1,1,1
Colorado,NA,3,3,3,3,3,3,1,3,3,3,3,3,1,1,1,1
Connecticut,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2
Delaware,3,3,3,3,3,3,3,3,3,3,3,NA,3,1,1,1,5
District of Columbia,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
Florida,3,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2
Georgia,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
Hawaii,NA,NA,NA,NA,4,4,4,4,NA,NA,4,4,4,4,4,4,4
Idaho,NA,NA,4,4,3,3,3,1,3,1,1,NA,1,1,1,1,1
Illinois,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1
Indiana,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
Iowa,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
Kansas,NA,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
Kentucky,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1
Louisiana,3,3,3,3,3,3,3,3,3,3,3,2,4,2,2,2,2
Maine,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maryland,3,3,3,3,3,3,3,3,3,3,3,3,3,2,5,2,5
Massachusetts,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2
Michigan,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
Minnesota,1,3,3,3,3,3,3,3,3,3,3,1,3,4,1,5,5
Mississippi,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,1
Missouri,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
Montana,NA,NA,3,3,1,1,1,1,1,1,1,NA,1,1,1,1,1
Nebraska,NA,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
Nevada,NA,3,3,4,1,3,3,1,3,3,1,1,1,1,1,1,1
New Hampshire,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New Jersey,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2
New Mexico,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New York,3,3,3,3,3,3,3,3,3,3,1,1,1,2,2,2,2
North Carolina,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
North Dakota,NA,1,1,1,1,3,3,3,3,3,3,NA,3,1,1,5,5
Ohio,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5
Oklahoma,NA,1,NA,NA,3,3,3,1,3,3,3,3,3,1,1,1,1
Oregon,3,3,3,4,3,3,1,1,1,1,1,1,1,1,1,1,1
Pennsylvania,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
Rhode Island,3,3,3,3,1,1,1,1,1,1,1,3,3,3,3,2,2
South Carolina,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
South Dakota,NA,3,3,3,3,3,3,3,3,3,3,NA,1,3,5,5,5
Tennessee,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
Texas,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Utah,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
Vermont,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1
Virginia,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
Washington,NA,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
West Virginia,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3
Wisconsin,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
Wyoming,NA,NA,3,4,3,3,3,1,1,3,3,NA,1,1,1,1,1
NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA
