STATEFIP,BPL,YEAR,Total_Pop,State,stusps
1,1,1850,235540.0500000005,Alabama,AL
1,13,1850,59708.31000000003,Alabama,AL
1,45,1850,51229.75000000016,Alabama,AL
1,37,1850,29706.949999999997,Alabama,AL
1,47,1850,24004.769999999993,Alabama,AL
1,51,1850,10881.800000000005,Alabama,AL
1,414,1850,3641.499999999999,Alabama,AL
1,36,1850,1652.1699999999996,Alabama,AL
1,21,1850,1563.6499999999996,Alabama,AL
1,28,1850,1470.8999999999999,Alabama,AL
1,411,1850,1179.6,Alabama,AL
1,42,1850,1144.9799999999998,Alabama,AL
1,12,1850,1017.7399999999999,Alabama,AL
1,25,1850,997.8099999999997,Alabama,AL
1,453,1850,796.8799999999999,Alabama,AL
1,421,1850,618.29,Alabama,AL
1,39,1850,450.39,Alabama,AL
1,24,1850,433.03999999999996,Alabama,AL
1,22,1850,428.8,Alabama,AL
1,9,1850,339.93,Alabama,AL
1,34,1850,289.35,Alabama,AL
1,33,1850,226.62,Alabama,AL
1,426,1850,226.62,Alabama,AL
1,50,1850,204.64,Alabama,AL
1,17,1850,194,Alabama,AL
1,5,1850,162.96,Alabama,AL
1,10,1850,113.31,Alabama,AL
1,23,1850,113.31,Alabama,AL
1,450,1850,113.31,Alabama,AL
1,48,1850,110.46,Alabama,AL
1,900,1850,110.46,Alabama,AL
1,455,1850,88.02,Alabama,AL
5,5,1850,61143.910000000316,Arkansas,AR
5,47,1850,34446.98999999996,Arkansas,AR
5,1,1850,12537.600000000004,Arkansas,AR
5,21,1850,9056.409999999996,Arkansas,AR
5,37,1850,7231.389999999999,Arkansas,AR
5,13,1850,6226.9599999999955,Arkansas,AR
5,51,1850,5671.909999999998,Arkansas,AR
5,29,1850,4843.13,Arkansas,AR
5,45,1850,4702.070000000001,Arkansas,AR
5,28,1850,3575.820000000002,Arkansas,AR
5,18,1850,2611.1400000000017,Arkansas,AR
5,17,1850,2178.08,Arkansas,AR
5,39,1850,1559.49,Arkansas,AR
5,22,1850,1465.8500000000004,Arkansas,AR
5,453,1850,1398.38,Arkansas,AR
5,42,1850,1126.12,Arkansas,AR
5,36,1850,675.78,Arkansas,AR
5,421,1850,304.38,Arkansas,AR
5,414,1850,296.62,Arkansas,AR
5,48,1850,226.06,Arkansas,AR
5,26,1850,224.79,Arkansas,AR
5,9,1850,216.02,Arkansas,AR
5,24,1850,197.14999999999998,Arkansas,AR
5,55,1850,194.76,Arkansas,AR
5,25,1850,173.29,Arkansas,AR
5,150,1850,127.41,Arkansas,AR
5,33,1850,104.69,Arkansas,AR
5,410,1850,101.48,Arkansas,AR
5,425,1850,98.65,Arkansas,AR
5,23,1850,71.83,Arkansas,AR
6,36,1850,10857.65000000001,California,CA
6,200,1850,9175.31000000001,California,CA
6,39,1850,5846.030000000002,California,CA
6,25,1850,5043.479999999999,California,CA
6,6,1850,4855.760000000001,California,CA
6,21,1850,4835.26,California,CA
6,42,1850,4089.319999999998,California,CA
6,23,1850,3881.939999999998,California,CA
6,414,1850,3848.369999999999,California,CA
6,29,1850,3765.749999999997,California,CA
6,47,1850,3558.389999999998,California,CA
6,51,1850,3089.6099999999983,California,CA
6,453,1850,2977.5999999999985,California,CA
6,18,1850,2500.309999999999,California,CA
6,17,1850,2475.9599999999996,California,CA
6,421,1850,2352.0399999999995,California,CA
6,410,1850,2198.8499999999995,California,CA
6,50,1850,1521.5299999999997,California,CA
6,24,1850,1433.02,California,CA
6,150,1850,1164.1399999999999,California,CA
6,34,1850,1116.08,California,CA
6,22,1850,1008.3200000000002,California,CA
6,9,1850,941.2000000000002,California,CA
6,33,1850,915.0300000000001,California,CA
6,28,1850,704.7900000000002,California,CA
6,300,1850,703.9900000000001,California,CA
6,411,1850,665.84,California,CA
6,37,1850,564.92,California,CA
6,13,1850,501.92,California,CA
6,26,1850,498.60999999999996,California,CA
6,426,1850,489.98,California,CA
6,44,1850,480.02,California,CA
6,500,1850,460.40999999999997,California,CA
6,10,1850,414.55000000000007,California,CA
6,1,1850,401.98,California,CA
6,425,1850,400.32,California,CA
6,260,1850,373.13,California,CA
6,35,1850,325.29,California,CA
6,45,1850,292.28999999999996,California,CA
6,19,1850,278.53,California,CA
6,48,1850,216.86,California,CA
6,5,1850,211.52,California,CA
6,436,1850,197.69,California,CA
6,438,1850,178.66,California,CA
6,404,1850,108.43,California,CA
6,434,1850,105.56,California,CA
6,412,1850,103.09,California,CA
6,12,1850,94.6,California,CA
6,15,1850,94.6,California,CA
6,55,1850,94.6,California,CA
6,420,1850,89.33,California,CA
6,455,1850,89.33,California,CA
9,9,1850,287676.9299999966,Connecticut,CT
9,414,1850,27681.21999999999,Connecticut,CT
9,36,1850,15772.380000000034,Connecticut,CT
9,25,1850,13303.260000000013,Connecticut,CT
