State,1850,1860,1870,1880,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Alabama,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Alaska,NA,NA,NA,NA,Native Born,Native Born,Native Born,Native Born,NA,NA,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Arizona,NA,Native Born,Mexico,Mexico,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Arkansas,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
California,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Colorado,NA,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Connecticut,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Delaware,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,NA,Native Born,Native Born,Native Born,Native Born,Native Born
District of Columbia,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Florida,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Georgia,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Hawaii,NA,NA,NA,NA,Native Born,Native Born,Native Born,Native Born,NA,NA,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Idaho,NA,NA,China,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,NA,Native Born,Native Born,Native Born,Native Born,Native Born
Illinois,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Indiana,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Iowa,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Kansas,NA,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Kentucky,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Louisiana,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Maine,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Maryland,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Massachusetts,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Michigan,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Minnesota,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Mississippi,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Missouri,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Montana,NA,NA,Ireland,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,NA,Native Born,Native Born,Native Born,Native Born,Native Born
Nebraska,NA,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Nevada,NA,Native Born,Ireland,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
New Hampshire,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
New Jersey,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
New Mexico,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
New York,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
North Carolina,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
North Dakota,NA,Native Born,Native Born,Canada,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,NA,Native Born,Native Born,Native Born,Native Born,Native Born
Ohio,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Oklahoma,NA,Native Born,NA,NA,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Oregon,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Pennsylvania,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Rhode Island,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
South Carolina,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
South Dakota,NA,France,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,NA,Native Born,Native Born,Native Born,Native Born,Native Born
Tennessee,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Texas,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Utah,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Vermont,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,NA,Native Born,Native Born,Native Born,Native Born,Native Born
Virginia,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Washington,NA,Ireland,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
West Virginia,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Wisconsin,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born
Wyoming,NA,NA,Ireland,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,Native Born,NA,Native Born,Native Born,Native Born,Native Born,Native Born
NA,NA,NA,NA,NA,Native Born,Native Born,NA,NA,NA,NA,NA,Native Born,Native Born,Native Born,NA,NA,NA
